  7.3477455e+006 -5.0000000e+002  3.5553243e+002 -7.6698459e+002
  7.3477456e+006 -5.0000000e+002  3.5148480e+002 -7.6701127e+002
  7.3477457e+006 -5.0000000e+002  3.4743763e+002 -7.6703713e+002
  7.3477458e+006 -5.0000000e+002  3.4339090e+002 -7.6706309e+002
  7.3477459e+006 -5.0000000e+002  3.3934459e+002 -7.6708850e+002
  7.3477460e+006 -5.0000000e+002  3.3529866e+002 -7.6711354e+002
  7.3477461e+006 -5.0000000e+002  3.3125308e+002 -7.6713762e+002
  7.3477462e+006 -5.0000000e+002  3.2720786e+002 -7.6716172e+002
  7.3477463e+006 -5.0000000e+002  3.2316295e+002 -7.6718494e+002
  7.3477464e+006 -5.0000000e+002  3.1911837e+002 -7.6720821e+002
  7.3477465e+006 -5.0000000e+002  3.1507408e+002 -7.6723072e+002
  7.3477466e+006 -5.0000000e+002  3.1103008e+002 -7.6725309e+002
  7.3477467e+006 -5.0000000e+002  3.0698635e+002 -7.6727476e+002
  7.3477468e+006 -5.0000000e+002  3.0294288e+002 -7.6729639e+002
  7.3477469e+006 -5.0000000e+002  2.9889966e+002 -7.6731756e+002
  7.3477470e+006 -5.0000000e+002  2.9485667e+002 -7.6733832e+002
  7.3477471e+006 -5.0000000e+002  2.9081390e+002 -7.6735852e+002
  7.3477472e+006 -5.0000000e+002  2.8677136e+002 -7.6737859e+002
  7.3477473e+006 -5.0000000e+002  2.8272901e+002 -7.6739820e+002
  7.3477474e+006 -5.0000000e+002  2.7868687e+002 -7.6741773e+002
  7.3477475e+006 -5.0000000e+002  2.7464491e+002 -7.6743676e+002
  7.3477476e+006 -5.0000000e+002  2.7060314e+002 -7.6745564e+002
  7.3477477e+006 -5.0000000e+002  2.6656153e+002 -7.6747398e+002
  7.3477478e+006 -5.0000000e+002  2.6252008e+002 -7.6749196e+002
  7.3477479e+006 -5.0000000e+002  2.5847878e+002 -7.6750979e+002
  7.3477480e+006 -5.0000000e+002  2.5443763e+002 -7.6752730e+002
  7.3477481e+006 -5.0000000e+002  2.5039664e+002 -7.6754460e+002
  7.3477482e+006 -5.0000000e+002  2.4635580e+002 -7.6756138e+002
  7.3477483e+006 -5.0000000e+002  2.4231513e+002 -7.6757821e+002
